symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,compression-ratio,horsepower,city-mpg,highway-mpg,price,make_encoded,body-style_encoded,drive-wheels_encoded,engine-type_encoded,num-of-cylinders_encoded,fuel-type_encoded,num-of-doors_encoded,aspiration_encoded,engine-location_encoded
3,122.0,88.6,168.8,64.1,48.8,2548,130,9.0,111.0,21,27,13495.0,0,0,2,0,2,1,1,0,0
3,122.0,88.6,168.8,64.1,48.8,2548,130,9.0,111.0,21,27,16500.0,0,0,2,0,2,1,1,0,0
1,122.0,94.5,171.2,65.5,52.4,2823,152,9.0,154.0,19,26,16500.0,0,2,2,5,3,1,1,0,0
2,164.0,99.8,176.6,66.2,54.3,2337,109,10.0,102.0,24,30,13950.0,1,3,1,3,2,1,0,0,0
2,164.0,99.4,176.6,66.4,54.3,2824,136,8.0,115.0,18,22,17450.0,1,3,0,3,1,1,0,0,0
2,122.0,99.8,177.3,66.3,53.1,2507,136,8.5,110.0,19,25,15250.0,1,3,1,3,1,1,1,0,0
1,158.0,105.8,192.7,71.4,55.7,2844,136,8.5,110.0,19,25,17710.0,1,3,1,3,1,1,0,0,0
1,122.0,105.8,192.7,71.4,55.7,2954,136,8.5,110.0,19,25,18920.0,1,4,1,3,1,1,0,0,0
1,158.0,105.8,192.7,71.4,55.9,3086,131,8.3,140.0,17,20,23875.0,1,3,1,3,1,1,0,1,1
0,122.0,99.5,178.2,67.9,52.0,3053,131,7.0,160.0,16,22,13207.129353233831,1,2,0,3,1,1,1,1,1
2,192.0,101.2,176.8,64.8,54.3,2395,108,8.8,101.0,23,29,16430.0,2,3,2,3,2,1,1,0,0
0,192.0,101.2,176.8,64.8,54.3,2395,108,8.8,101.0,23,29,16925.0,2,3,2,3,2,1,0,0,0
0,188.0,101.2,176.8,64.8,54.3,2710,164,9.0,121.0,21,28,20970.0,2,3,2,3,3,1,1,0,0
0,188.0,101.2,176.8,64.8,54.3,2765,164,9.0,121.0,21,28,21105.0,2,3,2,3,3,1,0,0,0
1,122.0,103.5,189.0,66.9,55.7,3055,164,9.0,121.0,20,25,24565.0,2,3,2,3,3,1,0,0,0
0,122.0,103.5,189.0,66.9,55.7,3230,209,8.0,182.0,16,22,30760.0,2,3,2,3,3,1,0,0,0
0,122.0,103.5,193.8,67.9,53.7,3380,209,8.0,182.0,16,22,41315.0,2,3,2,3,3,1,1,0,0
